Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-02-15,838.81,841.773,836.22,837.32,1303154
2017-02-16,838.5,842.69,837.26,842.17,920812
2017-02-17,841.31,846.94,839.78,846.55,1406688
2017-02-21,847.99,852.2,846.55,849.27,1178472
2017-02-22,848,853.79,846.71,851.36,1193139
2017-02-23,851.08,852.62,842.5,851,1261077
2017-02-24,847.65,848.36,842.96,847.81,1308260
2017-02-27,844.95,850.67,843.01,849.67,981246
2017-02-28,847.35,848.83,841.442,844.93,1273713
2017-03-01,851.38,858,849.02,856.61,1653965
2017-03-02,856.31,856.49,848.72,849.85,1217226
2017-03-03,848.94,850.82,844.705,849.08,995060
2017-03-06,846.86,848.94,841.17,847.27,1011938
2017-03-07,847.26,853.33,845.52,851.15,977095
2017-03-08,853.12,856.93,851.25,853.64,995611
2017-03-09,853.69,860.71,852.67,857.84,1240728
2017-03-10,862.7,864.229,857.61,861.405,1296760
2017-03-13,865.68,867.13,860.82,864.58,1166605
2017-03-14,863.75,867.58,860.13,865.91,1061692
2017-03-15,867.94,869.88,861.295,868.39,1332885
2017-03-16,870.53,872.71,867.52,870,1104452
2017-03-17,873.68,874.42,868.37,872.37,1683901
2017-03-20,869.48,870.34,864.665,867.91,1542199
2017-03-21,870.06,873.47,847.687,850.14,2537978
2017-03-22,849.48,855.35,847,849.8,1366749
2017-03-23,841.39,841.69,833,839.65,3287669
2017-03-24,842,844,829.1,835.15,1976958
2017-03-27,828.09,841.38,824.3,838.51,1875590
2017-03-28,839.69,845.4,832.265,840.63,1476606
2017-03-29,842.75,851.585,841.38,849.87,1382043
2017-03-30,851.98,852,846.77,849.48,916623
2017-03-31,846.83,849.56,845.245,847.8,1320899
2017-04-03,848.75,859,847.53,856.75,1969402
2017-04-04,848,853,847.505,852.57,1329060
2017-04-05,854.71,860.59,847.52,848.91,1767000
2017-04-06,849.5,853.59,844,845.095,1314898
2017-04-07,845,845.88,837.3,842.1,1111610
2017-04-10,841.54,846.737,840.79,841.7,954094
2017-04-11,841.7,844.63,834.6,839.88,974343
2017-04-12,838.46,843.72,837.59,841.46,1015796
2017-04-13,841.04,843.73,837.85,840.18,1025516
2017-04-17,841.38,855.64,841.03,855.13,1004913
2017-04-18,852.54,857.39,851.25,853.99,927771
2017-04-19,857.385,860.2,853.528,856.51,1042384
2017-04-20,859.74,863.93,857.5,860.09,1062506
2017-04-21,860.62,862.44,857.73,858.95,1082611
2017-04-24,868.44,879.96,866.11,878.93,1692394
2017-04-25,882.26,892.25,879.28,888.84,2033438
2017-04-26,891.39,892.99,885.15,889.14,1321206
2017-04-27,890,893.377,887.18,891.44,2308819
2017-04-28,929,935.9,923.22,924.52,3845857
2017-05-01,924.15,935.82,920.8,932.82,2326641
2017-05-02,933.27,942.985,931,937.09,1749433
2017-05-03,936.05,950.2,935.21,948.45,1822217
2017-05-04,950.29,959.14,947.37,954.72,1938006
2017-05-05,956.72,958.44,948.099,950.28,1615548
2017-05-08,947.45,960.99,947.395,958.69,1875309
2017-05-09,961.33,962.2,954.4,956.69,1686772
2017-05-10,956.22,956.71,949.84,954.84,1145873
2017-05-11,951.29,957.99,948.61,955.89,1031014
2017-05-12,957.85,957.98,952.06,955.14,1214614
2017-05-15,955.29,962.7,952.82,959.22,1332067
2017-05-16,963.55,965.896,960.35,964.61,1099932
2017-05-17,959.7,960.99,940.06,942.17,2447018
2017-05-18,943.2,954.18,941.27,950.5,1800465
2017-05-19,952.82,959.56,952,954.65,1359792
2017-05-22,957,964.82,956.56,964.07,1384909
2017-05-23,969.96,974.51,964.5,970.55,1544933
2017-05-24,975.26,978.115,971.63,977.61,1137885
2017-05-25,979,995.78,977.82,991.86,1952832
2017-05-26,992,996.39,987.36,993.27,1632239
2017-05-30,992.5,997.62,991.36,996.17,1516553
2017-05-31,996.21,999.6,981.68,987.09,1725758
2017-06-01,990.96,993.14,981.29,988.29,1305190
2017-06-02,988.59,996.48,987.07,996.12,1734163
2017-06-05,997.89,1007.4,995.45,1003.88,1377960
2017-06-06,1003.31,1008.61,994.8,996.68,1550832
2017-06-07,998.82,1003.91,995.81,1001.59,1372300
2017-06-08,1004.23,1005.6,996.62,1004.28,1681411
2017-06-09,1005.49,1005.5,953.37,970.12,3643062
2017-06-12,958.72,968,936.795,961.81,4197445
2017-06-13,972.04,977.91,962.01,970.5,2004195
2017-06-14,975.5,979.7,959.51,967.93,1499807
2017-06-15,948.02,960.678,940.37,960.18,2369353
2017-06-16,957.91,959.95,948.7,958.62,2545952
2017-06-19,969.65,979.3,968.2,975.22,1466053
2017-06-20,975.31,980.79,968.2,968.99,1297019
2017-06-21,970.79,979.67,969.16,978.59,1161607
2017-06-22,976.87,980.5,973.315,976.62,1000838
2017-06-23,975.5,986.62,974.46,986.09,1547284
2017-06-26,990,993.99,970.33,972.09,1516720
2017-06-27,961.6,967.22,947.09,948.09,2441836
2017-06-28,950.66,963.24,936.16,961.01,2738995
2017-06-29,951.35,951.66,929.6,937.82,3203356
2017-06-30,943.99,945,929.61,929.61,2285012
2017-07-03,933.22,934.24,915.31,919.46,1694811
2017-07-05,924.2,936.29,918.631,932.26,2091689
2017-07-06,925,936.14,919.85,927.69,2013951
2017-07-07,930.985,944.66,929.79,940.81,1629306
2017-07-10,941.95,953.13,941.95,951,1443510
2017-07-11,950.52,954.89,945.12,953.53,1460601
2017-07-12,960.86,969.63,957.04,967.66,1599965
2017-07-13,970.8,978.7,964.8,968.85,1523376
2017-07-14,974,977.54,970.15,976.91,1076978
2017-07-17,976.32,983.35,970.8,975.96,1655892
2017-07-18,973.36,990.85,972.04,986.95,1411850
2017-07-19,990.01,995.6,987.01,992.77,1400473
2017-07-20,997,998.68,984.62,992.19,1416054
2017-07-21,989,995.11,984.17,993.84,1461598
2017-07-24,994.1,1006.19,990.273,998.31,3915107
2017-07-25,970.7,976.73,963.8,969.03,5930130
2017-07-26,972.78,973.95,960.23,965.31,2212665
2017-07-27,969.18,969.52,937.06,952.51,3711840
2017-07-28,947.99,961.79,945.31,958.2,1813719
2017-07-31,960,961.193,941.725,945.5,2290902
2017-08-01,947.81,954.49,944.96,946.56,1327222
2017-08-02,948.37,949.1,932.521,947.64,2038340
2017-08-03,949.1,950,939.44,940.3,1123379
2017-08-04,943.8,947.54,939.795,945.79,1254336
2017-08-07,947.52,948.96,943.5,945.75,1444189
2017-08-08,944.29,952.49,942.48,944.19,1500178
2017-08-09,938.45,943.76,933.92,940.08,1398227
2017-08-10,935,936.3,921.777,923.59,2704565
2017-08-11,923.71,933.36,921.22,930.09,1616328
2017-08-14,939.07,941.04,934.485,938.93,1149629
2017-08-15,941.03,943.07,936.64,938.08,1103692
2017-08-16,941.25,949.9,940.039,944.27,1343392
2017-08-17,942.95,943.81,927.64,927.66,1673886
2017-08-18,926.98,931.02,923.45,926.18,1335610
2017-08-21,925.77,928.25,918.6,920.87,1299899
2017-08-22,926.96,941.962,926.17,940.4,1759686
2017-08-23,937,945.425,935.24,942.58,1133117
2017-08-24,943.71,946.31,930.74,936.89,1294108
2017-08-25,939.21,940.73,930.1,930.5,1184593
2017-08-28,931.88,934.85,926.11,928.13,1045711
2017-08-29,919.95,938.19,919.31,935.75,1158366
2017-08-30,935.67,945.86,934.05,943.63,1119470
2017-08-31,946.3,957.195,946.25,955.24,1692147
2017-09-01,957.47,958.33,950.28,951.99,1042686
2017-09-05,946.86,951.385,935.6,941.48,1458691
2017-09-06,943.87,944.5,932.68,942.02,1391215
2017-09-07,944.25,950.497,937.53,949.89,1116276
2017-09-08,949.7,950.7,940.01,940.95,999783
2017-09-11,947.2,952.68,941,943.29,1336245
2017-09-12,946.92,948.085,937.5,946.65,1283993
2017-09-13,945.5,952.85,944.74,950.44,1094735
2017-09-14,946,948.03,938.356,940.13,1424671
2017-09-15,940.09,941.75,931.25,935.29,1956570
2017-09-18,935.01,936.86,925.4,929.75,1456222
2017-09-19,933.41,937.94,926.66,936.86,1232338
2017-09-20,937.73,950,937.5,947.54,1923014
2017-09-21,948.13,952.8,939.38,947.55,1349131
2017-09-22,942.77,950,940.835,943.26,1074282
2017-09-25,939.45,939.75,924.51,934.28,1870439
2017-09-26,936.69,944.08,935.12,937.43,1671401
2017-09-27,942.74,965.43,941.95,959.9,2332319
2017-09-28,956.25,966.18,955.55,964.81,1400404
2017-09-29,966,975.81,966,973.36,2029793
2017-10-02,975.65,977.74,961.95,967.47,1536653
2017-10-03,967.56,972.44,962.705,972.08,1083848
2017-10-04,971.76,974.4,965.61,966.78,1056271
2017-10-05,972.79,986.509,970.27,985.19,1779670
2017-10-06,980,994.26,978.51,993.64,1552207
2017-10-09,995,1000.46,991.5,992.31,1295006
2017-10-10,995.3,997.47,981.11,987.8,1163333
2017-10-11,989.04,1007.57,987.94,1005.65,1813213
2017-10-12,1003.84,1011.54,1001.1,1005.65,1540349
2017-10-13,1009.11,1014.76,1007.06,1007.87,1327162
2017-10-16,1009.63,1012,1001.52,1009.35,1069362
2017-10-17,1007.44,1014.56,1006.05,1011,1006933
2017-10-18,1011.05,1016.31,1005.32,1012.74,1278730
2017-10-19,1004.75,1007.32,997.3,1001.84,1682649
2017-10-20,1007.05,1008.65,1002.27,1005.07,1605182
2017-10-23,1005.18,1005.79,983.1,985.54,1637726
2017-10-24,986.5,989.26,977.08,988.49,1438933
2017-10-25,986.27,994.43,977.722,991.46,1398280
2017-10-26,998.47,1006.51,990.47,991.42,2355336
2017-10-27,1030.99,1063.62,1027.46,1033.67,5182877
2017-10-30,1029.16,1039.83,1022.33,1033.13,2340172
2017-10-31,1033,1041,1026.3,1033.04,1516278
2017-11-01,1036.32,1047.86,1034,1042.6,2163073
2017-11-02,1039.99,1045.52,1028.66,1042.97,1334697
2017-11-03,1042.75,1050.66,1037.65,1049.99,1388461
2017-11-06,1049.1,1052.59,1042,1042.68,913954
2017-11-07,1049.65,1053.41,1043,1052.39,1303832
2017-11-08,1050.05,1062.69,1047.05,1058.29,1214469
2017-11-09,1048,1050.88,1035.85,1047.72,1793994
2017-11-10,1043.87,1046.63,1041.22,1044.15,970498
2017-11-13,1040.8,1048.74,1039.26,1041.2,940113
2017-11-14,1037.72,1042.3,1029.33,1041.64,1050380
2017-11-15,1035,1039.63,1030.76,1036.41,904402
2017-11-16,1038.75,1051.76,1038,1048.47,1137621
2017-11-17,1049.8,1051,1033.73,1035.67,1334393
2017-11-20,1036,1038.7,1032.68,1034.66,876213
2017-11-21,1040.04,1050.39,1039.14,1050.3,1080873
2017-11-22,1051.16,1055.43,1047.25,1051.92,726431
2017-11-24,1054.39,1060.07,1051.92,1056.52,825369
2017-11-27,1058.57,1073.04,1054.77,1072.01,1771227
2017-11-28,1073.99,1080,1054.54,1063.29,1820282
2017-11-29,1056.18,1058.77,1029.65,1037.38,2790432
2017-11-30,1039.94,1044.14,1030.07,1036.17,2233522
2017-12-01,1030.41,1037.25,1016.9,1025.07,1867176
2017-12-04,1027.8,1031.34,1009.22,1011.87,1938273
2017-12-05,1010.99,1036.68,1002.32,1019.6,1948981
2017-12-06,1016.52,1039.58,1015.31,1032.72,1380673
2017-12-07,1036.07,1048.92,1035.36,1044.57,1542091
2017-12-08,1051.81,1056.42,1045.86,1049.38,1492011
2017-12-11,1051.11,1056,1044.12,1052.08,1161991
2017-12-12,1050,1062.5,1044.87,1048.77,1692800
2017-12-13,1052.08,1055.48,1046.58,1051.39,1383936
2017-12-14,1055.49,1067.08,1053.6,1057.47,1545572
2017-12-15,1063.78,1075.25,1060.09,1072,3184924
2017-12-18,1076.45,1086.49,1070.37,1085.09,1512677
2017-12-19,1083.02,1084.98,1072.27,1079.29,1291614
2017-12-20,1080.92,1081.24,1068.6,1073.56,1435726
2017-12-21,1075.39,1077.52,1069,1070.85,1247648
2017-12-22,1070,1071.72,1067.64,1068.86,885293
2017-12-26,1068.64,1068.86,1058.64,1065.85,918255
2017-12-27,1066.6,1068.27,1058.38,1060.2,1115893
2017-12-28,1062.25,1064.84,1053.38,1055.95,993945
2017-12-29,1055.49,1058.05,1052.7,1053.4,1179579
2018-01-02,1053.02,1075.98,1053.02,1073.44,1587677
2018-01-03,1073.93,1096.1,1073.43,1091.52,1565290
2018-01-04,1097.09,1104.08,1094.26,1096,1302498
2018-01-05,1103.45,1113.58,1101.8,1110.29,1511930
2018-01-08,1111,1119.16,1110,1114.21,1231346
2018-01-09,1118.44,1118.44,1108.2,1112.79,1340068
2018-01-10,1107,1112.78,1103.98,1110.14,1036365
2018-01-11,1112.31,1114.85,1106.48,1112.05,1120707
2018-01-12,1110.1,1131.3,1108.01,1130.65,1927006
2018-01-16,1140.31,1148.88,1126.66,1130.7,1803066
2018-01-17,1136.36,1139.32,1123.49,1139.1,1389213
2018-01-18,1139.35,1140.59,1124.47,1135.97,1372046
2018-01-19,1138.03,1143.78,1132.5,1143.5,1464430
2018-01-22,1143.82,1166.88,1141.82,1164.16,1476399
2018-01-23,1170.62,1178.51,1167.25,1176.17,1948280
2018-01-24,1184.98,1187.05,1167.4,1171.29,1845883
2018-01-25,1180.71,1185,1171.84,1182.14,1486683
2018-01-26,1187.53,1187.56,1168.03,1187.56,2101130
2018-01-29,1188,1198,1184.06,1186.48,1570436
2018-01-30,1177.72,1187.93,1174.51,1177.37,1817062
2018-01-31,1183.81,1186.32,1172.1,1182.22,1791493
2018-02-01,1175.99,1187.45,1169.36,1181.59,3641273
2018-02-02,1127.42,1131.3,1111.17,1119.2,5834231
2018-02-05,1100.61,1114.99,1056.74,1062.88,4152374
2018-02-06,1033.98,1087.375,1030.01,1084.43,3831524
2018-02-07,1084.97,1086.53,1054.62,1055.41,2587041
2018-02-08,1059.87,1063.93,1005.12,1007.71,3330543
2018-02-09,1025.88,1051.72,997,1046.27,4913463
2018-02-12,1056.67,1065.57,1045.49,1055.33,2805018
2018-02-13,1050,1061.22,1046.92,1054.21,1576027
2018-02-14,1054.32,1075.47,1049.8,1072.7,2064208
2018-02-15,1083.45,1094.1,1067.23,1091.36,1859013
2018-02-16,1093.38,1108.31,1091.55,1095.5,1993152
2018-02-20,1092.76,1116.29,1090,1103.59,1687065
2018-02-21,1109.1,1136.2,1107.51,1113.75,2071947
2018-02-22,1119.17,1125.46,1105.15,1109.9,1398777
2018-02-23,1118.66,1129,1108.44,1128.09,1263084
2018-02-26,1131.86,1144,1129.34,1143.7,1503295
2018-02-27,1143.7,1144.25,1116.79,1117.51,2148159
2018-02-28,1122,1127.65,1103,1103.92,2464619
2018-03-01,1109.54,1111.27,1067.29,1071.41,2766856
2018-03-02,1057.98,1086.89,1050.11,1084.14,2508145
2018-03-05,1078.13,1101.18,1072.27,1094.76,1432369
2018-03-06,1102.1,1105.63,1094.5,1100.9,1169068
2018-03-07,1092.82,1116.2,1089.91,1115.04,1537429
2018-03-08,1117.2,1131.44,1117.2,1129.38,1693133
2018-03-09,1139.5,1161,1134.29,1160.84,2133087
2018-03-12,1165.05,1178.16,1159.2,1165.93,2215304
2018-03-13,1171.83,1178,1134.57,1139.91,2156999
2018-03-14,1145.8,1159.76,1142.35,1148.89,2093482
2018-03-15,1149.57,1162.5,1135.66,1150.61,1669094
2018-03-16,1155.35,1156.81,1131.36,1134.42,2932759
2018-03-19,1117.76,1119.37,1088.92,1100.07,3182796
2018-03-20,1098.4,1105.55,1082.42,1095.8,2729857
2018-03-21,1092.57,1108.7,1087.21,1094,2244865
2018-03-22,1080.01,1083.92,1049.64,1053.15,3465608
2018-03-23,1051.37,1066.78,1024.87,1026.55,2493971
2018-03-26,1050.6,1059.27,1010.58,1054.09,3299151
2018-03-27,1063.9,1064.54,997.62,1006.94,3040809
2018-03-28,1001.91,1024.99,984,1005.18,3884943
2018-03-29,1011.21,1048.05,1004.04,1037.14,3466876
2018-04-02,1027.62,1039.53,994.25,1012.63,3253387
2018-04-03,1016.15,1025,997.245,1018.68,2566146
2018-04-04,998.23,1032.74,996.51,1029.71,2536198
2018-04-05,1046.39,1046.71,1024,1032.64,1791761
2018-04-06,1023.1,1036,1006.25,1009.95,2006683
2018-04-09,1020.04,1044.59,1019.2,1020.09,1661012
2018-04-10,1030.26,1041.21,1015.41,1036.5,1836678
2018-04-11,1025.06,1035.87,1019.51,1025.06,1649949
2018-04-12,1031.47,1044.65,1026.05,1037.29,1644794
2018-04-13,1046.89,1052.98,1030.15,1036.04,1270461
2018-04-16,1045.55,1051.43,1033.92,1046.1,1488822
2018-04-17,1061.2,1085,1057.09,1079.36,2729197
2018-04-18,1079.01,1082,1070.52,1075.39,1556298
2018-04-19,1069.02,1097.51,1069.02,1089.45,1994247
2018-04-20,1084.27,1094.75,1072.1,1077.32,2121692
2018-04-23,1082.98,1088,1066.68,1073.81,3479496
2018-04-24,1059.2,1064.49,1012.86,1022.64,6411038
2018-04-25,1029.75,1036.07,1017.01,1022.99,2893047
2018-04-26,1033.22,1052.02,1020.45,1043.31,2546332
2018-04-27,1045.54,1051.7,1027.59,1031.45,2037263
2018-04-30,1018.58,1038.37,1018.3,1018.58,1724632
2018-05-01,1016.3,1041.73,1010.61,1040.75,1766256
2018-05-02,1034,1043.98,1023.16,1026.05,1734872
2018-05-03,1025.37,1030.69,1007.89,1026.3,1964066
2018-05-04,1019.61,1051.88,1018.05,1051,1844600
2018-05-07,1053.89,1065,1050.27,1059.46,1719971
2018-05-08,1064.62,1065.23,1051.64,1058.59,1301524
2018-05-09,1064.1,1094,1062.11,1088.95,2357979
2018-05-10,1095,1109.41,1093.88,1105.47,1820676
2018-05-11,1100.41,1109.01,1097.22,1103.38,1525218
2018-05-14,1105.57,1118.15,1104.8,1106.6,1966893
2018-05-15,1096.9,1099.12,1078.78,1084.87,1786926
2018-05-16,1085.09,1094.38,1081.63,1084.09,1281406
2018-05-17,1081.46,1091,1076.42,1081.26,1286907
2018-05-18,1066,1073.73,1064.68,1069.64,1774149
2018-05-21,1079,1093.3,1078,1084.01,1258999
2018-05-22,1089.8,1091.8,1072.26,1075.31,1111299
2018-05-23,1070,1088,1066.96,1085.96,1186998
2018-05-24,1086.9,1087.12,1072.3,1085.45,1030194
2018-05-25,1086.55,1089.57,1082.6,1084.08,1111161
2018-05-29,1076,1081.34,1063.08,1068.07,1803805
2018-05-30,1073.48,1078.99,1066.55,1077.47,1434282
2018-05-31,1082,1110,1078,1100,3968362
2018-06-01,1112.87,1138.16,1112.01,1135,3160100
2018-06-04,1138.5,1157.86,1137,1153.04,2237701
2018-06-05,1154.66,1161.1,1147.46,1151.02,1648222
2018-06-06,1152.77,1154.71,1136.32,1146.95,1746719
2018-06-07,1144.58,1145.87,1126.12,1134.42,1805388
2018-06-08,1131.21,1138.78,1123.23,1132.71,1364226
2018-06-11,1132.94,1147.74,1131.4,1140.9,1239770
2018-06-12,1141.02,1148.75,1141.02,1148.19,1304612
2018-06-13,1152.28,1155.64,1143.38,1144.23,1715074
2018-06-14,1152.21,1165.99,1150.6,1160.11,1771120
2018-06-15,1159.92,1163.91,1153.69,1159.27,2221891
2018-06-18,1152.69,1184.13,1151,1183.58,1651913
2018-06-19,1170.11,1182.81,1161.61,1178.69,2364127
2018-06-20,1183.3,1201.49,1182.03,1184.07,2584260
2018-06-21,1185.51,1190.33,1163.48,1169.44,2248277
2018-06-22,1171.5,1175,1159.65,1169.29,1711003
2018-06-25,1155,1155.99,1119.9,1139.28,2884131
2018-06-26,1144.14,1146.87,1129,1132.62,1734414
2018-06-27,1136,1146.21,1116.7,1116.94,1726866
2018-06-28,1112.39,1134,1106.07,1126.78,1486675
2018-06-29,1132.31,1141.36,1127.02,1129.19,1578116
2018-07-02,1115.35,1142.99,1106.6,1142.11,1161040
2018-07-03,1149.42,1149.91,1114.43,1116.28,822394
2018-07-05,1124.6,1144.14,1123.12,1141.29,1429710
2018-07-06,1141.77,1156.2,1137.24,1155.08,1090967
2018-07-09,1160,1167.93,1157.23,1167.28,1079201
2018-07-10,1169.99,1173.5,1162.56,1167.14,1066704
2018-07-11,1155.62,1180.44,1155.37,1171.46,1662633
